name,rating,rating_count,company_type,Head_Quarters,No_of_Job,reviews
TCS,3.3,(1.2L),IT Services & Consulting,Bengaluru +445 other locations,4k,1.2L
Accenture,3.7,(74.5k),IT Services & Consulting,Bengaluru +260 other locations,23.8k,74.5k
Wipro,3.6,(65.8k),IT Services & Consulting,Hyderabad +374 other locations,304,65.8k
Cognizant,3.7,(62.2k),IT Services & Consulting,Hyderabad +233 other locations,737,62.2k
Capgemini,3.6,(54.2k),IT Services & Consulting,Bengaluru +184 other locations,2.1k,54.2k
HDFC Bank,3.8,(53.3k),Banking,Mumbai +1858 other locations,253,53.3k
Infosys,3.5,(49.4k),IT Services & Consulting,Bengaluru +247 other locations,2.8k,49.4k
HCLTech,3.4,(46.6k),IT Services & Consulting,Chennai +231 other locations,265,46.6k
ICICI Bank,3.9,(46.4k),Banking,Mumbai +1446 other locations,7,46.4k
Tech Mahindra,3.3,(43.9k),IT Services & Consulting,Hyderabad +323 other locations,618,43.9k
Genpact,3.6,(43k),Analytics & KPO,Hyderabad +181 other locations,554,43k
TP,3.9,(39.2k),BPO,Mumbai +257 other locations,1.5k,39.2k
Jio,4.4,(33.9k),Telecom,Mumbai +1963 other locations,--,33.9k
Axis Bank,3.6,(33.8k),Banking,Mumbai +1529 other locations,250,33.8k
Concentrix Corporation,3.6,(32.6k),BPO,Bengaluru +184 other locations,16,32.6k
Amazon,3.9,(31.9k),Internet,Bengaluru +519 other locations,73,31.9k
Reliance Retail,3.9,(27.6k),Retail,Mumbai +1166 other locations,87,27.6k
iEnergizer,4.6,(27.3k),BPO,Noida +53 other locations,85,27.3k
LTIMindtree,3.6,(26.8k),IT Services & Consulting,Bengaluru +145 other locations,495,26.8k
HDB Financial Services,3.9,(26k),NBFC,Mumbai +1098 other locations,5,26k
IBM,3.9,(26k),IT Services & Consulting,Bengaluru +162 other locations,771,26k
Larsen & Toubro Limited,3.9,(24.2k),Engineering & Construction,Chennai +775 other locations,260,24.2k
Deloitte,3.6,(23.6k),Management Consulting,Hyderabad +184 other locations,323,23.6k
Kotak Mahindra Bank,3.6,(22.8k),Banking,Mumbai +693 other locations,98,22.8k
Reliance Industries,4.0,(20.5k),Oil & Gas,Jamnagar +822 other locations,68,20.5k
Vodafone Idea,3.9,(17.7k),Telecom,Pune +708 other locations,92,17.7k
Bharti Airtel,3.8,(17.3k),Telecom,Gurugram +797 other locations,212,17.3k
BYJU'S,3.2,(16.4k),EdTech,Bengaluru +321 other locations,--,16.4k
WNS,3.3,(15.5k),IT Services & Consulting,Pune +66 other locations,69,15.5k
IDFC FIRST Bank,3.9,(15k),Banking,Mumbai +740 other locations,43,15k
Ernst & Young,3.4,(14.8k),Management Consulting,Bengaluru +135 other locations,4.1k,14.8k
IndusInd Bank,3.4,(14.5k),Banking,Mumbai +802 other locations,157,14.5k
AU Small Finance Bank,3.8,(14.4k),Banking,Jaipur +806 other locations,313,14.4k
Tata Motors,4.1,(14.3k),Automobile,Pune +506 other locations,208,14.3k
Bajaj Finserv,3.9,(13.4k),NBFC,Pune +1211 other locations,4,13.4k
Muthoot FinCorp,4.5,(13.2k),NBFC,Bengaluru +1124 other locations,41,13.2k
Flipkart,3.9,(13.2k),Internet,Bengaluru +556 other locations,165,13.2k
PwC,3.3,(12.9k),Management Consulting,Bengaluru +137 other locations,1k,12.9k
HDFC Life,3.8,(12.3k),Insurance,Mumbai +719 other locations,141,12.3k
Mahindra & Mahindra,4.0,(12.2k),Automobile,Pune +570 other locations,3,12.2k
Infosys BPM,3.5,(12.2k),BPO,Bengaluru +95 other locations,45,12.2k
DXC Technology,3.6,(12.1k),IT Services & Consulting,Bengaluru +131 other locations,196,12.1k
Bandhan Bank,3.7,(11.4k),Banking,Kolkata +1018 other locations,--,11.4k
Digitide Solutions,3.5,(10.5k),IT Services & Consulting,Hyderabad +275 other locations,382,10.5k
Yes Bank,3.7,(10.4k),Banking,Mumbai +543 other locations,209,10.4k
Mphasis,3.3,(10.4k),IT Services & Consulting,Bengaluru +63 other locations,89,10.4k
Tata Steel,4.0,(10k),Iron & Steel,Jamshedpur +228 other locations,--,10k
Quess,3.8,(9.9k),Recruitment,Bengaluru +759 other locations,52,9.9k
Asian Paints,3.9,(9.7k),Chemicals,Mumbai +558 other locations,105,9.7k
Startek,3.0,(9.6k),BPO,Bengaluru +104 other locations,226,9.6k
Maruti Suzuki,4.1,(9.6k),Automobile,Gurugram +459 other locations,139,9.6k
UltraTech Cement,4.1,(9.6k),Building Material,Mumbai +542 other locations,55,9.6k
Paytm,3.2,(9.5k),FinTech,Noida +428 other locations,904,9.5k
Bajaj Finance,3.9,(9.4k),NBFC,Pune +1007 other locations,6.5k,9.4k
Shriram Finance,3.9,(9.3k),NBFC,Chennai +1125 other locations,5,9.3k
Sutherland Global Services,3.4,(9.2k),BPO,Chennai +82 other locations,298,9.2k
Equitas Small Finance Bank,4.3,(9k),Banking,Chennai +486 other locations,34,9k
Wells Fargo,3.6,(8.8k),Financial Services,Bengaluru +27 other locations,156,8.8k
Cipla,4.1,(8.7k),Pharma,Mumbai +296 other locations,45,8.7k
EXL Service,3.6,(8.7k),Analytics & KPO,Noida +62 other locations,78,8.7k
Ericsson,3.9,(8.5k),Telecom,Noida +161 other locations,59,8.5k
Samsung,3.9,(8.4k),Consumer Electronics & Appliances,Noida +582 other locations,54,8.4k
Dr. Reddy's,4.0,(8.3k),Pharma,Hyderabad +216 other locations,51,8.3k
Optum Global Solutions,4.0,(8.1k),IT Services & Consulting,Hyderabad +69 other locations,124,8.1k
JSW Steel,3.9,(8k),Iron & Steel,Ballari +199 other locations,121,8k
JPMorgan Chase & Co.,3.8,(7.9k),Financial Services,Bengaluru +56 other locations,423,7.9k
Delhivery,3.8,(7.9k),Logistics,Gurugram +766 other locations,305,7.9k
Coforge,3.3,(7.9k),IT Services & Consulting,Hyderabad +106 other locations,263,7.9k
ICICI Prudential Life Insurance,3.9,(7.9k),Insurance,Mumbai +512 other locations,206,7.9k
Hexaware Technologies,3.4,(7.8k),IT Services & Consulting,Chennai +71 other locations,1.5k,7.8k
Ujjivan Small Finance Bank,4.0,(7.7k),Banking,Bengaluru +546 other locations,111,7.7k
Sun Pharmaceutical Industries,4.1,(7.7k),Pharma,Vadodara +265 other locations,396,7.7k
Jana Small Finance Bank,3.7,(7.7k),Banking,Bengaluru +427 other locations,151,7.7k
Zydus Lifesciences,4.0,(7.6k),Pharma,Ahmedabad +184 other locations,36,7.6k
HGS,3.7,(7.6k),Emerging Technologies,Bengaluru +122 other locations,26,7.6k
Ekart Logistics,3.9,(7.6k),Logistics,Bengaluru +741 other locations,--,7.6k
Amazon Development Centre India,3.8,(7.5k),Internet,Hyderabad +146 other locations,10,7.5k
KPMG India,3.4,(7.5k),Management Consulting,Bengaluru +112 other locations,94,7.5k
Lupin,4.1,(7.4k),Pharma,Pune +205 other locations,54,7.4k
Axis Max Life Insurance,4.0,(7.3k),Insurance,New Delhi +511 other locations,1.8k,7.3k
L&T Construction,4.0,(7.3k),Engineering & Construction,Chennai +436 other locations,--,7.3k
ITC,3.9,(7.3k),FMCG,Bengaluru +380 other locations,74,7.3k
Hindustan Unilever,4.2,(7.3k),FMCG,Mumbai +549 other locations,29,7.3k
Megha Engineering & Infrastructures,3.9,(7.1k),Engineering & Construction,Hyderabad +411 other locations,29,7.1k
Tata Projects,4.2,(6.9k),Engineering & Construction,Mumbai +288 other locations,40,6.9k
Cholamandalam Investment & Finance,3.8,(6.8k),Financial Services,Chennai +872 other locations,61,6.8k
Bajaj Life Insurance,3.8,(6.8k),Insurance,Pune +621 other locations,105,6.8k
