iter	Accuracy	Logloss
0	0.8136924804	0.6619774518
1	0.8327721661	0.6333930038
2	0.8249158249	0.6115690195
3	0.8237934905	0.5909633864
4	0.8282828283	0.5744337508
5	0.8294051627	0.5548160231
6	0.8305274972	0.5397843468
7	0.8305274972	0.5259104288
8	0.8237934905	0.5160628515
9	0.8249158249	0.5075943316
10	0.8237934905	0.4965757656
11	0.8260381594	0.4861407837
12	0.8237934905	0.4800524032
13	0.8249158249	0.4732596908
14	0.8294051627	0.4626852657
15	0.8282828283	0.4555943339
16	0.8294051627	0.4495415962
17	0.8305274972	0.4450317133
18	0.8294051627	0.4412517821
19	0.8305274972	0.4366539519
20	0.8316498316	0.4317341381
21	0.8305274972	0.4274684468
22	0.8316498316	0.4257691268
23	0.8316498316	0.4243170326
24	0.8316498316	0.4218077869
25	0.8316498316	0.4193423334
26	0.8327721661	0.4146478665
27	0.8327721661	0.4115676001
28	0.8327721661	0.4084818721
29	0.8338945006	0.4064659567
30	0.835016835	0.4046605096
31	0.835016835	0.4014376926
32	0.835016835	0.399769235
33	0.835016835	0.397263039
34	0.835016835	0.3934429037
35	0.835016835	0.3911947031
36	0.835016835	0.3903051522
37	0.835016835	0.3888016379
38	0.8383838384	0.3865066347
39	0.8395061728	0.3863133947
40	0.8395061728	0.3855100947
41	0.8395061728	0.3839551484
42	0.8417508418	0.3818206659
43	0.8439955107	0.3804607918
44	0.8428731762	0.3797302339
45	0.8451178451	0.3788653806
46	0.8451178451	0.3770223223
47	0.8462401796	0.3758882047
48	0.8462401796	0.3747535552
49	0.8462401796	0.3738957009
50	0.847362514	0.3728877941
51	0.8484848485	0.372411157
52	0.8496071829	0.3710083037
53	0.8518518519	0.3697020679
54	0.8518518519	0.3680855104
55	0.8518518519	0.3670850774
56	0.8529741863	0.3669376271
57	0.8529741863	0.3654431813
58	0.8518518519	0.3642484719
59	0.8529741863	0.3629977845
60	0.8540965208	0.3623582691
61	0.8552188552	0.3611502672
62	0.8574635241	0.3590739678
63	0.859708193	0.358277945
64	0.8585858586	0.3567347886
65	0.8585858586	0.355177194
66	0.8585858586	0.3547057419
67	0.8585858586	0.3543622284
68	0.8585858586	0.3535933445
69	0.8585858586	0.3523475565
70	0.8608305275	0.3516106548
71	0.8608305275	0.3510817777
72	0.859708193	0.3503529731
73	0.8608305275	0.3502020595
74	0.8608305275	0.3495844808
75	0.8641975309	0.3490408863
76	0.8630751964	0.3487280333
77	0.8630751964	0.3484296558
78	0.8653198653	0.3469783425
79	0.8664421998	0.3464013105
80	0.8653198653	0.345820734
81	0.8641975309	0.3451165835
82	0.8641975309	0.3446141546
83	0.8641975309	0.3441663216
84	0.8653198653	0.3434297372
85	0.8653198653	0.3422943238
86	0.8664421998	0.3414738098
87	0.8664421998	0.340791801
88	0.8653198653	0.3405160058
89	0.8653198653	0.3399924763
90	0.8641975309	0.3394547561
91	0.8641975309	0.3392433675
92	0.8641975309	0.3385899164
