iter	Passed	Remaining
0	57	57106
1	104	52342
2	143	47775
3	183	45714
4	223	44557
5	264	43854
6	302	42862
7	336	41764
8	356	39267
9	383	37954
10	422	38009
11	458	37772
12	484	36787
13	521	36706
14	559	36767
15	595	36633
16	627	36272
17	667	36421
18	703	36333
19	745	36509
20	785	36614
21	833	37063
22	852	36203
23	866	35250
24	888	34635
25	921	34524
26	961	34663
27	1001	34757
28	1048	35103
29	1089	35229
30	1145	35812
31	1217	36823
32	1341	39297
33	1493	42438
34	1627	44862
35	1744	46710
36	1888	49155
37	2054	52022
38	2239	55174
39	2312	55490
40	2473	57853
41	2687	61298
42	2853	63496
43	3035	65942
44	3155	66967
45	3270	67829
46	3487	70709
47	3707	73536
48	3963	76923
49	4233	80434
50	4557	84811
51	4674	85220
52	4790	85589
53	5019	87941
54	5148	88465
55	5372	90558
56	5467	90460
57	5580	90630
58	5716	91178
59	5782	90595
60	5878	90487
61	5954	90082
62	6083	90480
63	6164	90155
64	6369	91628
65	6499	91980
66	6599	91896
67	6654	91199
68	6727	90772
69	6788	90186
70	6857	89723
71	6913	89107
72	6991	88781
73	7023	87893
74	7106	87645
75	7157	87022
76	7230	86667
77	7297	86261
78	7364	85857
79	7477	85987
80	7541	85560
81	7597	85057
82	7668	84723
83	7722	84212
84	7787	83826
85	7857	83504
86	7951	83446
87	8008	83000
88	8062	82525
89	8123	82137
90	8183	81744
91	8251	81440
92	8369	81625
93	8435	81305
94	8503	81003
95	8531	80337
96	8592	79987
97	8664	79751
98	8717	79341
99	8770	78933
100	8841	78694
101	8920	78538
102	8990	78298
103	9048	77959
104	9119	77735
105	9173	77370
106	9206	76839
107	9308	76883
108	9392	76775
109	9443	76410
110	9515	76209
111	9593	76059
112	9646	75717
113	9700	75391
114	9814	75531
115	9877	75276
116	9956	75141
117	10024	74926
118	10044	74359
119	10070	73849
120	10196	74071
121	10310	74201
122	10471	74661
123	10545	74499
124	10627	74393
125	10786	74820
126	10877	74773
127	10957	74648
128	11018	74397
129	11088	74208
130	11178	74151
131	11238	73903
132	11357	74035
133	11429	73863
134	11480	73563
135	11559	73439
136	11621	73207
137	11763	73481
138	11797	73078
139	11917	73209
140	11997	73091
141	12103	73132
142	12186	73036
143	12264	72906
144	12315	72617
145	12346	72219
146	12444	72210
147	12503	71980
148	12617	72062
149	12686	71888
150	12743	71650
151	12853	71710
152	12934	71605
153	13035	71608
154	13133	71598
155	13262	71751
156	13429	72108
157	13596	72458
158	13771	72840
159	13944	73207
160	14059	73264
161	14157	73233
162	14264	73246
163	14395	73383
164	14471	73235
165	14551	73107
166	14620	72928
167	14758	73088
168	14851	73029
169	14916	72827
170	14994	72691
171	15052	72463
172	15126	72310
173	15199	72151
174	15312	72189
175	15399	72096
