iter	Logloss
0	0.6675560674
1	0.6406731118
2	0.6177040782
3	0.5974460097
4	0.5783151053
5	0.5632810095
6	0.5503334601
7	0.5362972576
8	0.5256084401
9	0.5147272035
10	0.5080730706
11	0.4989283274
12	0.4910210187
13	0.483672578
14	0.477942144
15	0.4727897217
16	0.4682805486
17	0.4637249191
18	0.4591979515
19	0.4551452597
20	0.4517048118
21	0.4484125371
22	0.445307899
23	0.4410398174
24	0.4387317543
25	0.4353929778
26	0.433172363
27	0.4307591821
28	0.4288149027
29	0.4272683711
30	0.4257799953
31	0.4236388086
32	0.4219437829
33	0.4203313959
34	0.4185944137
35	0.4167285559
36	0.4157355026
37	0.414336797
38	0.4132387331
39	0.4121947357
40	0.4112442919
41	0.4106144582
42	0.409100669
43	0.4077579978
44	0.4064391591
45	0.4054260763
46	0.4042866594
47	0.4038921307
48	0.4031864785
49	0.402599592
50	0.4015483843
51	0.4009027753
52	0.4000348012
53	0.3991955169
54	0.3981744768
55	0.3978630107
56	0.3970114597
57	0.3964744784
58	0.3960565021
59	0.3954159985
60	0.3946098892
61	0.393994625
62	0.3936359605
63	0.3928317901
64	0.3925263808
65	0.3917551989
66	0.3913444144
67	0.3907888856
68	0.3902841524
69	0.389584152
70	0.3891721958
71	0.388799334
72	0.3883263627
73	0.3877309768
74	0.3870560091
75	0.3866769633
76	0.3861464268
77	0.3857876426
78	0.3853406817
79	0.3850452591
80	0.3846942885
81	0.3845072774
82	0.3843486775
83	0.3838911601
84	0.3834749944
85	0.3833283152
86	0.3829323164
87	0.3825506101
88	0.382018852
89	0.38185005
90	0.3814768913
91	0.3810307615
92	0.3803504935
93	0.3801775303
94	0.3798235605
95	0.3797529714
96	0.3794009565
97	0.3791828346
98	0.3787018575
99	0.3785907538
100	0.3783334422
101	0.378045258
102	0.3776511257
103	0.3774248002
104	0.3768997173
105	0.3765694284
106	0.3757154483
107	0.3754462626
108	0.3750804144
109	0.3746383346
110	0.3744423618
111	0.3742961106
112	0.3740610786
113	0.3738040883
114	0.3736352962
115	0.3733962826
116	0.3728239238
