iter	Passed	Remaining
0	367	183171
1	524	130485
2	780	129224
3	982	121799
4	1264	125195
5	1453	119636
6	1553	109399
7	1690	103964
8	1828	99744
9	1966	96375
10	2086	92747
11	2209	89863
12	2302	86242
13	2444	84858
14	2723	88067
15	2897	87638
16	3043	86460
17	3405	91185
18	3553	89952
19	3682	88390
20	3859	88027
21	3992	86741
22	4100	85041
23	4329	85873
24	4446	84488
25	4559	83116
26	4741	83065
27	4843	81642
28	4979	80866
29	5105	79982
30	5208	78796
31	5323	77856
32	5424	76771
33	5521	75682
34	5633	74843
35	5748	74096
36	5848	73183
37	5962	72492
38	6092	72017
39	6216	71495
40	6344	71029
41	6480	70665
42	6669	70885
43	6816	70646
44	6951	70289
45	7099	70064
46	7336	70707
47	7658	72117
48	7898	72696
49	8108	72978
50	8290	72985
51	8485	73109
52	8589	72441
53	8724	72058
54	8889	71925
55	9052	71769
56	9351	72679
57	9641	73478
58	9877	73830
59	10089	73992
60	10340	74415
61	10654	75272
62	10816	75026
63	10975	74772
64	11152	74638
65	11345	74605
66	11525	74485
67	11679	74199
68	11820	73833
69	11937	73331
70	12062	72882
71	12162	72300
72	12274	71799
73	12373	71230
74	12564	71199
75	12695	70829
76	12810	70376
77	12970	70176
78	13133	69992
79	13299	69823
80	13437	69508
81	13544	69044
82	13644	68552
83	13753	68110
84	13852	67630
85	13923	67026
86	14063	66761
87	14184	66408
88	14397	66485
89	14633	66665
90	15031	67559
91	15217	67484
92	15661	68539
93	15934	68821
94	16075	68532
95	16222	68267
96	16379	68050
97	16489	67639
98	16608	67271
99	16707	66830
100	16822	66458
101	16921	66026
102	17015	65585
103	17134	65241
104	17244	64871
105	17334	64430
106	17422	63991
107	17530	63628
108	17646	63302
109	17754	62948
110	17861	62596
111	17951	62190
112	18060	61853
113	18156	61478
114	18252	61107
115	18359	60777
116	18469	60460
117	18593	60192
118	18688	59833
119	18792	59508
120	18889	59165
121	18984	58822
122	19097	58533
123	19181	58162
124	19262	57787
125	19335	57392
126	19411	57012
127	19499	56670
128	19577	56302
129	19676	56002
130	19792	55750
131	20012	55791
132	20102	55469
133	20193	55155
134	20283	54841
135	20405	54614
136	20491	54295
137	20533	53862
138	20561	53401
139	20642	53079
140	20716	52747
141	20800	52439
142	20873	52109
143	20956	51809
144	21049	51534
145	21140	51258
146	21232	50987
147	21325	50720
148	21408	50432
149	21505	50180
150	21589	49900
151	22407	51300
152	22538	51116
153	22658	50908
154	22755	50650
155	22867	50425
156	22960	50163
157	23054	49903
158	23114	49573
159	23232	49368
160	23334	49133
161	23447	48922
162	23548	48685
163	23649	48452
164	23762	48245
165	23862	48012
166	23951	47759
167	24060	47548
168	24154	47308
169	24257	47089
170	24344	46838
171	24436	46600
172	24543	46391
173	24639	46164
174	24744	45953
175	24852	45751
176	24941	45514
177	25025	45270
178	25120	45047
179	25199	44798
180	25286	44566
181	25383	44350
182	25469	44119
183	25566	43907
184	25650	43674
185	25741	43455
186	25849	43266
187	25929	43031
188	26027	42827
189	26066	42529
190	26163	42326
191	26257	42122
192	26339	41896
193	26424	41679
194	26503	41454
195	26608	41270
196	26698	41063
197	26784	40853
198	26869	40641
199	26951	40426
200	27038	40221
201	27129	40023
202	27214	39816
203	27302	39616
204	27381	39403
205	27479	39218
206	27561	39012
207	27644	38809
208	27726	38604
209	27802	38393
210	27887	38196
211	27959	37983
212	28044	37788
213	28131	37595
214	28218	37405
215	28307	37218
216	28390	37025
217	28476	36836
218	28555	36639
219	28637	36447
220	28729	36269
221	28821	36091
222	28920	35923
223	29003	35736
224	29087	35551
225	29163	35358
226	29246	35173
227	29326	34985
228	29412	34807
229	29492	34621
230	29577	34442
231	29665	34268
232	29737	34076
233	29823	33901
234	29898	33715
235	29986	33544
236	30054	33351
237	30125	33163
238	30197	32977
239	30284	32808
240	30356	32623
241	30430	32442
242	30495	32252
243	30569	32073
244	30638	31889
245	30711	31710
246	30776	31523
247	30845	31343
248	30909	31157
249	30981	30981
250	31048	30800
251	31121	30627
252	31189	30449
253	31262	30278
254	31326	30097
255	31394	29922
256	31469	29755
257	31533	29577
258	31605	29408
259	31680	29243
260	31754	29077
261	31827	28911
262	31902	28748
263	31971	28580
264	32041	28413
265	32109	28246
266	32180	28082
267	32243	27912
268	32317	27752
269	32380	27583
270	32453	27423
271	32519	27258
272	32583	27093
273	32658	26937
274	32724	26774
275	32797	26618
276	32861	26455
277	32932	26298
278	32997	26137
279	33070	25984
280	33135	25824
281	33208	25672
282	33271	25511
283	33347	25362
284	33414	25207
285	33487	25057
286	33554	24903
287	33617	24746
288	33688	24596
289	33749	24439
290	33815	24287
291	33873	24129
292	33941	23979
293	33999	23822
294	34062	23670
295	34125	23518
296	34179	23361
297	34244	23212
298	34304	23060
299	34367	22911
300	34429	22762
301	34493	22614
302	34550	22463
303	34598	22307
304	34662	22161
305	34724	22015
306	34778	21863
307	34846	21722
308	34896	21570
309	34961	21427
310	35019	21282
311	35073	21134
312	35139	20994
313	35197	20849
314	35265	20711
315	35322	20567
316	35381	20425
317	35445	20286
318	35507	20147
319	35574	20010
320	35636	19871
321	35696	19733
322	35763	19598
323	35825	19460
324	35892	19326
325	35946	19186
326	36008	19050
327	36068	18914
328	36128	18777
329	36193	18644
330	36249	18507
331	36313	18375
332	36376	18242
333	36437	18109
334	36514	17984
335	36574	17851
336	36646	17725
337	36705	17592
338	36790	17472
339	36849	17341
340	36916	17213
341	36972	17080
342	37033	16951
343	37097	16823
344	37154	16692
345	37229	16570
346	37287	16440
347	37350	16313
348	37406	16184
349	37469	16058
350	37534	15933
351	37590	15805
352	37646	15677
353	37710	15553
354	37769	15427
355	37834	15303
356	37894	15178
357	37956	15055
358	38027	14935
359	38084	14810
360	38153	14690
361	38218	14569
362	38286	14449
363	38348	14328
364	38432	14214
365	38503	14096
366	38588	13984
367	38655	13865
368	38733	13750
369	38797	13631
370	38876	13517
371	38950	13402
372	39032	13289
373	39095	13171
374	39174	13058
375	39264	12948
376	39339	12834
377	39406	12718
378	39482	12605
379	39549	12489
380	39623	12375
381	39699	12263
382	39777	12151
383	39855	12039
384	39932	11927
385	40006	11815
386	40081	11703
387	40145	11588
388	40213	11474
389	40287	11363
390	40361	11251
391	40427	11138
392	40490	11024
393	40564	10913
394	40636	10801
395	40705	10690
396	40767	10577
397	40837	10465
398	40900	10353
399	40980	10245
400	41043	10132
401	41117	10023
402	41189	9914
403	41271	9807
404	41450	9723
